section,offering,utensil,material,decoration,count,number,quantity,measurement,type of substance,position,occasion,personnel,deity,time,day,month,text,additional
1,sheep,,,,1,1,,,livestock,,,lamentation priest,god of the temple; goddess of the temple; lamassu of the temple,night,favorable day,auspicious month,TU 45,
1,shoulder,,,,1,1,,,meat,,,lamentation priest,god of the temple; goddess of the temple; lamassu of the temple,night,favorable day,auspicious month,TU 45,
1,himsu omentum,,,,1,1,,,meat,,,lamentation priest,god of the temple; goddess of the temple; lamassu of the temple,night,favorable day,auspicious month,TU 45,
1,roasted meat,,,,1,1,,,meat,,,lamentation priest,god of the temple; goddess of the temple; lamassu of the temple,night,favorable day,auspicious month,TU 45,
1,beer,,,,1,1,,,beer,,,lamentation priest,god of the temple; goddess of the temple; lamassu of the temple,night,favorable day,auspicious month,TU 45,
1,wine,,,,1,1,,,wine,,,lamentation priest,god of the temple; goddess of the temple; lamassu of the temple,night,favorable day,auspicious month,TU 45,
1,milk,,,,1,1,,,milk,,,lamentation priest,god of the temple; goddess of the temple; lamassu of the temple,night,favorable day,auspicious month,TU 45,
1,sheep,,,,1,1,,,livestock,,,lamentation priest,Ea; Marduk,night,favorable day,auspicious month,TU 45,
1,beer,,,,1,1,,,beer,,,lamentation priest,Ea; Marduk,night,favorable day,auspicious month,TU 45,
1,wine,,,,1,1,,,wine,,,lamentation priest,Ea; Marduk,night,favorable day,auspicious month,TU 45,
1,milk,,,,1,1,,,milk,,,lamentation priest,Ea; Marduk,night,favorable day,auspicious month,TU 45,
1,mirsu confection,,,,1,1,,,confection,roof of the temple,,lamentation priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,TU 45,"made with honey, ghee, dates, sasqu flour, and pressed oil"
1,first quality beer,adakurru continer,,,1,1,,,beer,roof of the temple,,lamentation priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,TU 45,
1,wine,adakurru continer,,,1,1,,,wine,roof of the temple,,lamentation priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,TU 45,
1,milk,adakurru continer,,,1,1,,,milk,roof of the temple,,lamentation priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,TU 45,
1,sheep ,,,,1,3,,,livestock,roof of the temple,,lamentation priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,TU 45,
1,shoulder,,,,1,1,,,meat,roof of the temple,,lamentation priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,TU 45,
