section,offering,utensil,material,decoration,count,number,quantity,measurement,type of substance,position,occasion,personnel,deity,day,month,text,additional
3,bread,,,,1,"plural, unspecified",,,bread,,awakening of the temple,baker,,7,Tashritu,TU 39,
3,roasted meat,,,,1,1,,,meat,,regular offerings,baker,Papsukkal; Gushkingbanda,7,Tashritu,TU 39,
3,beef,,,,1,1,,,meat,,regular offerings,baker,Papsukkal; Gushkingbanda,7,Tashritu,TU 39,
3,mutton,,,,1,1,,,meat,,regular offerings,baker,Papsukkal; Gushkingbanda,7,Tashritu,TU 39,
3,first-quality beer,,,,1,1,,,beer,,not specified,baker,Papsukkal; Gushkingbanda,7,Tashritu,TU 39,
3,drawn wine,,,,1,1,,,wine,,not specified,baker,Papsukkal; Gushkingbanda,7,Tashritu,TU 39,
3,milk,,,,1,1,,,milk,,not specified,baker,Papsukkal; Gushkingbanda,7,Tashritu,TU 39,
3,date cakes,,,,1,1,,,confection,,not specified,baker,Papsukkal; Gushkingbanda,7,Tashritu,TU 39,
3,fine mixed beer,,,,1,1,,,beer,,not specified,baker,Papsukkal; Gushkingbanda,7,Tashritu,TU 39,
3,labku beer,,,,1,1,,,beer,,not specified,baker,Papsukkal; Gushkingbanda,7,Tashritu,TU 39,
3,tirimtu cups,tirimtu,,,1,1,,,vessel,,not specified,baker,Papsukkal; Gushkingbanda,7,Tashritu,TU 39,
3,dannu vat,dannu,,,1,1,,,vessel,,not specified,baker,Papsukkal; Gushkingbanda,7,Tashritu,TU 39,
3,namharu vat,namharu,,shaped like a raven,1,1,,,vessel,,not specified,baker,Papsukkal; Gushkingbanda,7,Tashritu,TU 39,
3,guqqu offering,,,,1,1,,,assemblage,,not specified,priest,,7,Tashritu,TU 39,
3,siltu food offering,,,,1,1,,,assemblage,,not specified,priest,,7,Tashritu,TU 39,
3,morning meal,,,,1,1,,,assemblage,,rabu morning,priest,,7,Tashritu,TU 39,
3,morning meal,,,,1,1,,,assemblage,,tardennu morning,priest,,7,Tashritu,TU 39,
3,evening meal,,,,1,1,,,assemblage,the room between the curtains,rabu evening,priest,,7,Tashritu,TU 39,
3,evenig meals,,,,1,1,,,assemblage,the room between the curtains,tardennu evening,priest,,7,Tashritu,TU 39,
3,roasted meat,,,,1,1,,,meat,,regular offerings,baker,Papsukkal; Gushkingbanda,7,Nisannu,TU 39,
3,beef,,,,1,1,,,meat,,regular offerings,baker,Papsukkal; Gushkingbanda,7,Nisannu,TU 39,
3,mutton,,,,1,1,,,meat,,regular offerings,baker,Papsukkal; Gushkingbanda,7,Nisannu,TU 39,
