section,offering,utensil,material,count,number,quantity,measurement,type of substance,position,occasion,personnel ,deity,Day,Month,MonthName,frequency tag,decorations,text,additional
1,barley beer,shappu,gold,1,3,,,beer,right offering table,rabu evening,priest,Anu,365,12,,every day entire year,,TU 38,
1,labku beer,shappu,gold,1,4,,,beer,right offering table,rabu evening,priest,Anu,365,12,,every day entire year,,TU 38,
1,barley beer,shappu,gold,1,3,,,beer,left offering table,rabu evening,priest,Anu,365,12,,every day entire year,,TU 38,
1,labku beer,shappu,gold,1,1,,,beer,left offering table,rabu evening,priest,Anu,365,12,,every day entire year,,TU 38,
1,nasu beer,shappu,gold,1,1,,,beer,left offering table,rabu evening,priest,Anu,365,12,,every day entire year,,TU 38,
1,zarbabu beer,shappu,gold,1,1,,,beer,left offering table,rabu evening,priest,Anu,365,12,,every day entire year,,TU 38,
1,drawn wine,shappu,gold,1,4,,,wine,offering table,rabu evening,priest,Anu,365,12,,every day entire year,,TU 38,
1,barley beer,shappu,gold,1,3,,,beer,right offering table,rabu morning,priest,Anu,365,12,,every day entire year,,TU 38,
1,labku beer,shappu,gold,1,4,,,beer,right offering table,rabu morning,priest,Anu,365,12,,every day entire year,,TU 38,
1,barley beer,shappu,gold,1,3,,,beer,left offering table,rabu morning,priest,Anu,365,12,,every day entire year,,TU 38,
1,labku beer,shappu,gold,1,1,,,beer,left offering table,rabu morning,priest,Anu,365,12,,every day entire year,,TU 38,
1,nasu beer,shappu,gold,1,1,,,beer,left offering table,rabu morning,priest,Anu,365,12,,every day entire year,,TU 38,
1,zarbabu beer,shappu,gold,1,1,,,beer,left offering table,rabu morning,priest,Anu,365,12,,every day entire year,,TU 38,
1,milk,shappu,alabaster,1,1,,,milk,left offering table,rabu morning,priest,Anu,365,12,,every day entire year,,TU 38,
1,drawn wine,shappu,gold,1,4,,,wine,offering table,rabu morning,priest,Anu,365,12,,every day entire year,,TU 38,
1,barley beer,shappu,gold,1,3,,,beer,right offering table,tardennu evening,priest,Anu,365,12,,every day entire year,,TU 38,
1,labku beer,shappu,gold,1,4,,,beer,right offering table,tardennu evening,priest,Anu,365,12,,every day entire year,,TU 38,
1,barley beer,shappu,gold,1,3,,,beer,left offering table,tardennu evening,priest,Anu,365,12,,every day entire year,,TU 38,
1,labku beer,shappu,gold,1,1,,,beer,left offering table,tardennu evening,priest,Anu,365,12,,every day entire year,,TU 38,
1,nasu beer,shappu,gold,1,1,,,beer,left offering table,tardennu evening,priest,Anu,365,12,,every day entire year,,TU 38,
1,zarbabu beer,shappu,gold,1,1,,,beer,left offering table,tardennu evening,priest,Anu,365,12,,every day entire year,,TU 38,
1,drawn wine,shappu,gold,1,4,,,wine,offering table,tardennu evening,priest,Anu,365,12,,every day entire year,,TU 38,
1,barley beer,shappu,gold,1,3,,,beer,right offering table,tardennu morning,priest,Anu,365,12,,every day entire year,,TU 38,
1,labku beer,shappu,gold,1,4,,,beer,right offering table,tardennu morning,priest,Anu,365,12,,every day entire year,,TU 38,
1,barley beer,shappu,gold,1,3,,,beer,left offering table,tardennu morning,priest,Anu,365,12,,every day entire year,,TU 38,
1,labku beer,shappu,gold,1,1,,,beer,left offering table,tardennu morning,priest,Anu,365,12,,every day entire year,,TU 38,
1,nasu beer,shappu,gold,1,1,,,beer,left offering table,tardennu morning,priest,Anu,365,12,,every day entire year,,TU 38,
1,zarbabu beer,shappu,gold,1,1,,,beer,left offering table,tardennu morning,priest,Anu,365,12,,every day entire year,,TU 38,
1,drawn wine,shappu,gold,1,4,,,wine,offering table,tardennu morning,priest,Anu,365,12,,every day entire year,,TU 38,
1,milk,shappu,alabaster,1,1,,,milk,left offering table,tardennu morning,priest,Anu,365,12,,every day entire year,,TU 38,
2,barley beer,shappu,gold,1,1,1,litre,beer,cella,not specified,priest,Anu,365,12,,every day entire year,,TU 38,
2,labku beer,shappu,gold,1,1,1,litre,beer,cella,not specified,priest,Anu,365,12,,every day entire year,,TU 38,
2,nasu beer,shappu,gold,1,1,1,litre,beer,cella,not specified,priest,Anu,365,12,,every day entire year,,TU 38,
2,drawn wine,shappu,gold,1,1,1,litre,wine,cella,not specified,priest,Anu,365,12,,every day entire year,,TU 38,
2,zarbabu beer,shappu,gold,1,1,1,litre,beer,cella,not specified,priest,Anu,365,12,,every day entire year,,TU 38,
2,Izallu wine,shappu,gold,1,1,5,akalu,wine,cella,not specified,priest,Anu,365,12,,every day entire year,,TU 38,
3,barley beer,shappu,gold,1,3,,,beer,right offering table,not specified,priest,Antu,365,12,,every day entire year,,TU 38,
3,labku beer,shappu,gold,1,4,,,beer,right offering table,not specified,priest,Antu,365,12,,every day entire year,,TU 38,
3,barley beer,shappu,gold,1,3,,,beer,left offering table,not specified,priest,Antu,365,12,,every day entire year,,TU 38,
3,labku beer,shappu,gold,1,1,,,beer,left offering table,not specified,priest,Antu,365,12,,every day entire year,,TU 38,
3,nasu beer,shappu,gold,1,1,,,beer,left offering table,not specified,priest,Antu,365,12,,every day entire year,,TU 38,
3,zarbabu beer,shappu,gold,1,1,,,beer,left offering table,not specified,priest,Antu,365,12,,every day entire year,,TU 38,
3,first quality beer,shappu,gold,1,12,,,beer,,not specified,priest,Ishtar,365,12,,every day entire year,,TU 38,
3,first quality beer,shappu,gold,1,10,,,beer,,not specified,priest,Nanaya,365,12,,every day entire year,,TU 38,
3,first quality beer,shappu,gold,1,"plural, unspecified",,,beer,,not specified,priest,the other gods residing in Uruk,365,12,,every day entire year,,TU 38,"""not included"""
4,travel provisions for the gods,shappu,gold,1,"plural, unspecified",,,food,,procession of the gods,priest,,,,,,,TU 38,"""not included"""
5,sibtu loaf,,,1,30,,,bread,,4 meals,baker,Antu,365,12,,every day entire year,,TU 38,
5,sibtu loaf,,,1,4,,,bread,before tiaras of Anu,4 meals,baker,tiaras of Anu,365,12,,every day entire year,,TU 38,
5,sibtu loaf,,,1,16,,,bread,wings of the cella of Anu,4 meals,baker,wings of the cella of Anu and Antu,365,12,,every day entire year,,TU 38,
5,sibtu loaf,,,1,7,,,bread,,rabu evening,baker,Anu,365,12,,every day entire year,,TU 38,made from above flour
5,sibtu loaf,,,1,8,,,bread,,tardennu morning,baker,Anu,365,12,,every day entire year,,TU 38,
5,sibtu loaf,,,1,7,,,bread,,rabu evening,baker,Anu,365,12,,every day entire year,,TU 38,
5,sibtu loaf,,,1,8,,,flour,,rabu morning,baker,Anu,365,12,,every day entire year,,TU 38,
5,barley flour,puru,,1,1,486,litre,flour,,4 meals,miller,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,quantity given 3 different ways
5,emmer flour,puru,,1,1,162,litre,flour,,4 meals,miller,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,540 litre total
5,red cake,basket for muttaqu cakes,reed,1,"plural, unspecified",,,confection,,offerings of the king,,Anu; Antu; the other gods,,,,,,TU 38,"""not included"""
5,takkasu cake,basket for makutu cakes,reed,,"plural, unspecified",,,confection,,offerings of the king,,Anu; Antu; the other gods,,,,,,TU 38,"""not included"""
5,kubbushu cake,,,,"plural, unspecified",,,confection,,offerings of the king,,Anu; Antu; the other gods,,,,,,TU 38,"""not included"""
5,kusipu loaves,kalakku container,,1,1200,,,bread,under the choice dates and Dilmun dates,offerings of the king,,Anu; Antu; the other gods,,,,,,TU 38,"""not included""; baked in oil (check)"
5,choice dates,,,,"plural, unspecified",,,fruit,,offerings of the king,,Anu; Antu; the other gods,,,,,,TU 38,"""not included"""
5,Dilmun dates,,,,"plural, unspecified",,,fruit,,offerings of the king,,Anu; Antu; the other gods,,,,,,TU 38,"""not included"""
5,pressed oil,,,,1,,,oil,,offerings of the king,,Anu; Antu; the other gods,,,,,,TU 38,"""not included"""
5,mashatu flour,masappu baskets,,,1,,,flour,,offerings of the king,miller; temple enterer,Anu; Antu; the other gods,,,,,,TU 38,"""not included"""
5,sibtu loaf,,,1,12,,,bread,seat of Anu and the household god of the cella of Antu,4 meals,baker,seat of Anu; the household gods of the cella of Anu,365,12,,every day entire year,,TU 38,
5,sibtu loaf,,,1,16,,,bread,ziggurat and household god of ziggurat,4 meals,baker,household gods of the ziggurat,365,12,,every day entire year,,TU 38,
5,sibtu loaf,,,1,30,,,bread,,4 meals,baker,Ishtar,365,12,,every day entire year,,TU 38,
5,sibtu loaf,,,1,30,,,bread,,4 meals,baker,Nanaya,365,12,,every day entire year,,TU 38,
5,sibtu loaf,,,1,75,,,bread,their temples,4 meals,,the other gods residing in Uruk,,,,,,TU 38,"""not included"""
5,large loaf,,,1,"plural, unspecified",,,bread,,brazier ceremony,,,,,,,,TU 38,"""not included"""
5,date cake,,,1,"plural, unspecified",,,confection,,brazier ceremony,,,,,,,,TU 38,"""not included"""
5,large loaf,,,1,"plural, unspecified",,,bread,,clothing ceremony,,,,,,,,TU 38,"""not included"""
5,date cake,,,1,"plural, unspecified",,,confection,,clothing ceremony,,,,,,,,TU 38,"""not included"""
5,large loaf,,,1,"plural, unspecified",,,bread,,esheshu ceremony,,,,,,,,TU 38,"""not included"""
5,date cake,,,1,"plural, unspecified",,,confection,,esheshu ceremony,,,,,,,,TU 38,"""not included"""
5,large loaf,,,1,"plural, unspecified",,,bread,,guqqu offering,,,,,,,,TU 38,"""not included"""
5,date cake,,,1,"plural, unspecified",,,confection,,guqqu offering,,,,,,,,TU 38,"""not included"""
5,large loaf,,,1,"plural, unspecified",,,bread,,holy water basin ceremony,,,,,,,,TU 38,"""not included"""
5,date cake,,,1,"plural, unspecified",,,confection,,holy water basin ceremony,,,,,,,,TU 38,"""not included"""
5,large loaf,,,1,"plural, unspecified",,,bread,,night vigil ceremony,,,,,,,,TU 38,"""not included"""
