section,offering,utensil,material,decoration,count,number,quantity,measurement,type of substance,position,occasion,personnel,deity,day,month,text,additional
1,serqu offering,,,,1,1,,,assemblage,,,priest,the great gods,favorable day,auspicious month ,TU 44,
1,first quality beer,,,,1,1,,,beer,,,priest,the great gods,favorable day,auspicious month ,TU 44,
1,barley bread,,,,1,7,,,bread,,,priest,[text damaged],favorable day,auspicious month ,TU 44,
1,emmer bread,,,,1,7,,,bread,,,priest,[text damaged],favorable day,auspicious month ,TU 44,
1,barley bread,,,,1,7,,,bread,,,priest,[text damaged],favorable day,auspicious month ,TU 44,
1,emmer bread,,,,1,7,,,bread,,,priest,[text damaged],favorable day,auspicious month ,TU 44,
1,mirsu cake,,,,1,1,,,confection,,,priest,[text damaged],favorable day,auspicious month ,TU 44,"made with honey, ghee, dates, and sisqu flour"
1,shoulder,,,,1,1,,,meat,,,priest,[text damaged],favorable day,auspicious month ,TU 44,part of the innards
1,himsu omentum,,,,1,1,,,meat,,,priest,[text damaged],favorable day,auspicious month ,TU 44,
1,roasted meat,,,,1,1,,,meat,,,priest,[text damaged],favorable day,auspicious month ,TU 44,
1,first quality beer,,,,1,1,,,beer,,,priest,[text damaged],favorable day,auspicious month ,TU 44,
1,wine,,,,1,1,,,wine,,,priest,[text damaged],favorable day,auspicious month ,TU 44,
1,milk,,,,1,1,,,milk,,,priest,[text damaged],favorable day,auspicious month ,TU 44,
2,sheep,,,,1,12,,,livestock,,,priest,twelve gods,favorable day,auspicious month ,TU 44,
2,shoulder,,,,1,1,,,meat,,,priest,twelve gods,favorable day,auspicious month ,TU 44,
2,himsu omentum,,,,1,1,,,meat,,,priest,twelve gods,favorable day,auspicious month ,TU 44,
2,beer,,,,1,1,,,beer,,,priest,twelve gods,favorable day,auspicious month ,TU 44,
2,wine,,,,1,1,,,wine,,,priest,twelve gods,favorable day,auspicious month ,TU 44,
2,milk,,,,1,1,,,milk,,,priest,twelve gods,favorable day,auspicious month ,TU 44,
2,sheep,,,,1,1,,,livestock,,,priest,Lumha,favorable day,auspicious month ,TU 44,
2,shoulder,,,,1,1,,,meat,,,priest,Lumha,favorable day,auspicious month ,TU 44,
2,himsu omentum,,,,1,1,,,meat,,,priest,Lumha,favorable day,auspicious month ,TU 44,
2,roasted meat,,,,1,1,,,meat,,,priest,Lumha,favorable day,auspicious month ,TU 44,
2,first quality beer,,,,1,1,,,beer,,,priest,Lumha,favorable day,auspicious month ,TU 44,
2,wine,,,,1,1,,,wine,,,priest,Lumha,favorable day,auspicious month ,TU 44,
2,milk,,,,1,1,,,milk,,,priest,Lumha,favorable day,auspicious month ,TU 44,
2,sheep,,,,1,1,,,livestock,,,priest,Lumha,favorable day,auspicious month ,TU 44,
2,shoulder,,,,1,1,,,meat,,,priest,Lumha,favorable day,auspicious month ,TU 44,
2,himsu omentum,,,,1,1,,,meat,,,priest,Lumha,favorable day,auspicious month ,TU 44,
2,roasted meat,,,,1,1,,,meat,,,priest,Lumha,favorable day,auspicious month ,TU 44,
2,first quality beer,,,,1,1,,,beer,,,priest,Lumha,favorable day,auspicious month ,TU 44,
2,wine,,,,1,1,,,wine,,,priest,Lumha,favorable day,auspicious month ,TU 44,
2,milk,,,,1,1,,,milk,,,priest,Lumha,favorable day,auspicious month ,TU 44,
6,sheep,,,,1,1,,,livestock,,,priest,Ea; Shamash; Marduk; Lumha; divine kettledrum,favorable day,auspicious month ,TU 44,
6,shoulder,,,,1,1,,,meat,,,priest,Ea; Shamash; Marduk; Lumha; divine kettledrum,favorable day,auspicious month ,TU 44,
6,himsu omentum,,,,1,1,,,meat,,,priest,Ea; Shamash; Marduk; Lumha; divine kettledrum,favorable day,auspicious month ,TU 44,
6,roasted meat,,,,1,1,,,meat,,,priest,Ea; Shamash; Marduk; Lumha; divine kettledrum,favorable day,auspicious month ,TU 44,
6,first quality beer,,,,1,1,,,beer,,,priest,Ea; Shamash; Marduk; Lumha; divine kettledrum,favorable day,auspicious month ,TU 44,
6,wine,,,,1,1,,,wine,,,priest,Ea; Shamash; Marduk; Lumha; divine kettledrum,favorable day,auspicious month ,TU 44,
6,milk,,,,1,1,,,milk,,,priest,Ea; Shamash; Marduk; Lumha; divine kettledrum,favorable day,auspicious month ,TU 44,
9,regular offering,,,,1,1,,,assemblage,,,priest,[text damaged],favorable day,auspicious month ,TU 44,
1,barley loaf,,,,1,7,,,bread,,,priest,twelve gods,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
1,emmer loaf,,,,1,7,,,bread,,,priest,twelve gods,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
1,mirsu cake,,,,1,1,,,confection,,,priest,twelve gods,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,"made with honey, ghee, dates and sasqu flour"
1,beer,,,,1,1,,,beer,,,priest,twelve gods,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
1,wine,,,,1,1,,,wine,,,priest,twelve gods,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
1,sheep offering,,,,1,12,,,livestock,,,priest,twelve gods,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
1,shoulder,,,,1,1,,,meat,,,priest,twelve gods,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
1,himsu omentum,,,,1,1,,,meat,,,priest,twelve gods,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
1,roasted meat,,,,1,1,,,meat,,,priest,twelve gods,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
1,barley malt,,,,1,"plural, unspecified",,,flour,,,priest,twelve gods,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
1,emmer malt,,,,1,"plural, unspecified",,,flour,,,priest,twelve gods,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
2,first quality beer,,,,1,1,,,beer,,,priest,bull(?),favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
2,beer,,,,1,1,,,beer,,,priest,bull(?),favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 5,
