section,object,material,decoration,count,number,measure,type of object,position,action,occasion ,personnel,deity,time,day,month,text,additional
1,offering table,,,1,3,,furniture,,arrange,,lamentation priest,god of the temple; goddess of the temple; lamassu of the temple,night,favorable day,auspicious month,TU 45,
1,brushwood pile ,,,1,1,,fire,,set up,,lamentation priest,Ea; Marduk,night,favorable day,auspicious month,TU 45,
1,pure water,,,1,1,,water,roof of the temple,sprinkle ,,lamentation priest,,morning,favorable day,auspicious month,TU 45,
1,offering table,,,1,3,,furniture,roof of the temple,arrange,,lamentation priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,TU 45,
1,barley seed,,,1,"plural, unspecified",,seed,roof of the temple,scatter,,lamentation priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,TU 45,
1,juniper,,,1,1,,aromatic,roof of the temple,fill censer,,lamentation priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,TU 45,
1,censer,,,1,1,,censer,roof of the temple,set up,,lamentation priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,TU 45,
1,holy water basin,,,1,1,,vessel,roof of the temple,set up,,lamentation priest,,morning,favorable day,auspicious month,TU 45,
1,curtain,,,1,"plural, unspecified",,furniture,roof of the temple,draw shut,,lamentation priest,,morning,favorable day,auspicious month,TU 45,
1,holy water basin,,,1,1,,vessel,roof of the temple,lift up,,lamentation priest,,morning,favorable day,auspicious month,TU 45,
1,curtain,,,1,"plural, unspecified",,furniture,roof of the temple,loosen,,lamentation priest,,morning,favorable day,auspicious month,TU 45,
4,offering accoutrement,,,1,"plural, unspecified",,assemblage,,set up,,lamentation priest,the king's god; the king's goddess,day,favorable day,auspicious month,TU 45,
5,offering table,,,1,3,,furniture,,arrange,,lamentation priest,Anu; Enlil; Ea,morning,favorable day,auspicious month,TU 45,
5,king's hair,,,1,"plural, unspecified",,hair,,cut off and gather,,lamentation priest; barber,,morning,favorable day,auspicious month,TU 45,
5,lahannu bottle,,,1,1,,vessel,,hold king's hair,,lamentation priest,,morning,favorable day,auspicious month,TU 45,
5,lahannu bottle,,,1,1,,vessel,,send off to the enemy's border,,lamentation priest,,morning,favorable day,auspicious month,TU 45,
5,hem of the king,,,1,1,,textile,,perform taqribtu-lamentations and ershemshahungu-prayers over it,,lamentation priest,,morning,favorable day,auspicious month,TU 45,
9,offering table,,,1,3,,furniture,"in front of the goddess of the city, the god of the city, and the lamassu of the city",set up,,lamentation priest,god of the city; goddess of the city; lamassu of the city,day,favorable day,auspicious month,TU 45,
9,brushwood pile ,,,1,1,,fire,"in front of the goddess of the city, the god of the city, and the lamassu of the city",kindle,,lamentation priest,,day,favorable day,auspicious month,TU 45,
9,hem of the king,,,1,1,,textile,"in front of the goddess of the city, the god of the city, and the lamassu of the city",perform taqribtu-lamentations and ershemshahungu-prayers over it,,lamentation priest,,day,favorable day,auspicious month,TU 45,
10,pure water,,,1,1,,water,"in the open country or on the bank of a river, a place where no one sets foot",sprinkle the ground,,lamentation priest,,morning,favorable day,auspicious month,TU 45,
10,offering table,,,1,3,,furniture,"in the open country or on the bank of a river, a place where no one sets foot",arrange,,lamentation priest,Anu; Enlil; Ea,morning,favorable day,auspicious month,TU 45,
10,brushwood pile ,,,1,1,,fire,"in the open country or on the bank of a river, a place where no one sets foot",kindle,,lamentation priest,Anu; Enlil; Ea,morning,favorable day,auspicious month,TU 45,
10,hem of the king,,,1,1,,textile,"in the open country or on the bank of a river, a place where no one sets foot",perform taqribtu-lamentations and ershemshahungu-prayers over it,,lamentation priest,,morning,favorable day,auspicious month,TU 45,
14,offering table,,,1,1,,furniture,,arrange,,lamentation priest,god of the temple; goddess of the temple; Mashdub; Shamash,night,favorable day,auspicious month,TU 45,
15,pure water,,,1,1,,water,roof of the temple,sprinkle the ground,,lamentation priest,,morning,favorable day,auspicious month,TU 45,
15,offering table,,,1,3,,furniture,roof of the temple,set up,,lamentation priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,TU 45,
15,cloth ,linen,,1,3,,textile,roof of the temple,lay on the seats,,lamentation priest,,morning,favorable day,auspicious month,TU 45,
15,brushwood pile ,,,1,1,,fire,roof of the temple,kindle,,lamentation priest,,morning,favorable day,auspicious month,TU 45,
15,gift,,,1,1,,gift,roof of the temple,present to the god,,king,god of the temple,morning,favorable day,auspicious month,TU 45,
1,offering table,,,1,3,,furniture,,arrange,,lamentation priest,god of the temple; goddess of the temple; lamassu of the temple,day,favorable day,auspicious month,TU 46,
1,brushwood pile ,,,1,1,,fire,,kindle,,lamentation priest,Ea; Marduk,day,favorable day,auspicious month,TU 46,
1,pure water,,,1,1,,water,roof of the temple,sprinkle,,lamentation priest,,morning,favorable day,auspicious month,TU 46,
1,offering table,,,1,3,,furniture,roof of the temple,set up,,lamentation priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,TU 46,
1,barley seed,,,1,"plural, unspecified",,seed,roof of the temple,scatter,,lamentation priest,,morning,favorable day,auspicious month,TU 46,
1,water basin,,,1,1,,vessel,roof of the temple,set up,,lamentation priest,,morning,favorable day,auspicious month,TU 46,
1,brushwood pile ,,,1,1,,fire,roof of the temple,kindle,,lamentation priest,,morning,favorable day,auspicious month,TU 46,
1,halhallatu drum,,,1,1,,drum,roof of the temple,play to accompany the ershemakku-lamentations,,lamentation priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,TU 46,
1,holy water basin,,,1,1,,vessel,roof of the temple,lift up,,lamentation priest,,morning,favorable day,auspicious month,TU 46,
1,curtain,,,1,"plural, unspecified",,furniture,roof of the temple,loosen,,lamentation priest,,morning,favorable day,auspicious month,TU 46,
1,clean garment,,,1,1,,garment,roof of the temple,put on,,building master of the temple,,morning,favorable day,auspicious month,TU 46,
1,bracelet,tin,,1,1,,jewelry ,,place on his wrist,,building master of the temple,,morning,favorable day,auspicious month,TU 46,
1,ax,lead,,1,1,,tool,,lift up,,building master of the temple,,morning,favorable day,auspicious month,TU 46,
1,first brick,,,1,1,,brick,,remove,,building master of the temple,,morning,favorable day,auspicious month,TU 46,
1,first brick,,,1,1,,brick,,place in a secluded temple,,building master of the temple,,morning,favorable day,auspicious month,TU 46,
1,offering table,,,1,1,,furniture,before the brick in a secluded temple,arrange before the brick,,lamentation priest,god of the foundation,morning,favorable day,auspicious month,TU 46,
1,barley seed,,,1,"plural, unspecified",,seed,,scatter,,lamentation priest,,morning,favorable day,auspicious month,TU 46,
3,lamb,,,1,1,,livestock,,lift up,,diviner,,day,favorable day,auspicious month,TU 46,
3,hem of the king,,,1,1,,textile,,lift the lamb over,,diviner,,day,favorable day,auspicious month,TU 46,
3,lamb,,,1,1,,livestock,,perform the oracle question with,,diviner,,day,favorable day,auspicious month,TU 46,
5,offering accoutrement,,,1,5,,assemblage,,arrange,,lamentation priest,Sin; Marduk; Ninmah; Kulla; Ninsubur,night,favorable day,auspicious month,TU 46,
5,barley seed,,,1,"plural, unspecified",,seed,,scatter,,lamentation priest,,night,favorable day,auspicious month,TU 46,
5,brushwood pile ,,,1,1,,fire,,kindle,,lamentation priest,,night,favorable day,auspicious month,TU 46,
5,offering accoutrement,,,1,3,,assemblage,,arrange,,lamentation priest,god of the temple; goddess of the temple; lamassu of the temple,night,favorable day,auspicious month,TU 46,
5,brushwood pile ,,,1,1,,fire,,kindle,,lamentation priest,,night,favorable day,auspicious month,TU 46,
5,holy water basin,,,1,1,,vessel,,set up ,,lamentation priest,,night,favorable day,auspicious month,TU 46,
5,curtain,,,1,"plural, unspecified",,furniture,,draw shut,,lamentation priest,,night,favorable day,auspicious month,TU 46,
5,halhallatu drum,,,1,1,,drum,,play to accompany the ershemakku-lamentations,,lamentation priest,,night,favorable day,auspicious month,TU 46,
5,offering accoutrement,,,1,3,,assemblage,,arrange,,lamentation priest,Anu; Enlil; Ea,night,favorable day,auspicious month,TU 46,
5,offering accoutrement,,,1,"plural, unspecified",,assemblage,,clear away,,lamentation priest,,night,favorable day,auspicious month,TU 46,
1,offering table,,,1,3,,furniture,,arrange,,lamentation priest,god of the temple; goddess of the temple; lamassu of the temple,night,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 10,
1,brushwood pile ,,,1,1,,fire,,kindle,,lamentation priest,Ea; Marduk,night,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 10,
1,pure water,,,1,1,,water,roof of the temple,sprinkle,,lamentation priest,,morning,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 10,
1,offering table,,,1,3,,furniture,roof of the temple,set up ,,lamentation priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 10,
1,cloth ,linen,,1,3,,textile,roof of the temple,place on the seats,,lamentation priest,,morning,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 10,
1,juniper,,,1,1,,aromatic,roof of the temple,fill censer,,lamentation priest,,morning,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 10,
1,censer,,,1,1,,censer,roof of the temple,place,,lamentation priest,,morning,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 10,
1,barley seed,,,1,"plural, unspecified",,seed,roof of the temple,scatter,,lamentation priest,,morning,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 10,
1,holy water basin,,,1,1,,vessel,roof of the temple,set up ,,lamentation priest,,morning,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 10,
1,curtain,,,1,"plural, unspecified",,furniture,roof of the temple,draw shut,,lamentation priest,,morning,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 10,
1,halhallatu drum,,,1,1,,vessel,roof of the temple,play to accompany the ershemakku-lamentations,,lamentation priest,,morning,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 10,
1,holy water basin,,,1,1,,vessel,roof of the temple,lift up,,lamentation priest,,morning,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 10,
1,curtain,,,1,1,,furniture,roof of the temple,loosen,,lamentation priest,,morning,favorable day,auspicious month,Bagh. Mitt. Beih. 2 no. 10,
1,brushwood pile ,,,1,1,,fire,,kindle,,diviner,,night,favorable day,auspicious month,BE 13987,
1,offering accoutrement,,,1,3,,assemblage,roof of the temple,arrange,,priest,,morning,favorable day,auspicious month,BE 13987,
1,juniper,,,1,1,,aromatic,roof of the temple,fill censer,,priest,,morning,favorable day,auspicious month,BE 13987,
1,censer,,,1,1,,censer,roof of the temple,place,,priest,,morning,favorable day,auspicious month,BE 13987,
1,barley seed,,,1,"plural, unspecified",,seed,roof of the temple,scatter,,priest,,morning,favorable day,auspicious month,BE 13987,
1,halhallatu drum,,,1,1,,drum,roof of the temple,play to accompany the ershemakku-lamentations,,priest,Ea; Shamash; Marduk,morning,favorable day,auspicious month,BE 13987,
1,clean garment,,,1,1,,garment,roof of the temple,put on,,building master of the temple,,morning,favorable day,auspicious month,BE 13987,
1,bracelet,tin,,1,1,,jewelry ,roof of the temple,place on his wrist,,building master of the temple,,morning,favorable day,auspicious month,BE 13987,
1,axe,lead,,1,1,,tool,roof of the temple,lift up,,building master of the temple,,morning,favorable day,auspicious month,BE 13987,
1,first brick,,,1,1,,brick,roof of the temple,remove,,building master of the temple,,morning,favorable day,auspicious month,BE 13987,
1,first brick,,,1,1,,brick,roof of the temple,place in a secluded temple,,building master of the temple,,morning,favorable day,auspicious month,BE 13987,
1,censer,,,1,1,,censer,roof of the temple,scatter a serqu offering upon,,building master of the temple,,morning,favorable day,auspicious month,BE 13987,
