section,object,material,decoration,count,number,measure,type of object,position,action,occasion ,personnel,deity,time,day,month,text,additional
1,black bull,,,1,1,,animal ,,taken and inspected,,priest; knowledgeable expert,,,favorable day,auspicious month,TU 44,"ungelded, with horns and hooves intact, with a body black as pitch, untouched by the whip"
2,pure water,,,1,1,,water,,sprinkle ,,priest,,,favorable day,auspicious month,TU 44,
2,brick,,,1,1,,brick,left side of the door of the workshop,place on the left side,,priest,,,favorable day,auspicious month,TU 44,
2,brick,,,1,1,,brick,right side of the door of the workshop,place on the right side,,priest,,,favorable day,auspicious month,TU 44,
2,black bull,,,1,1,,livestock,,make to enter the workshop,,priest,,,favorable day,auspicious month,TU 44,
2,reed mat,,,1,1,,furniture,,lay down in the workshop,,priest,,,favorable day,auspicious month,TU 44,
2,sand,,,1,1,,sand,surrounding the reed mat,surround the reed mat,,priest,,,favorable day,auspicious month,TU 44,
2,black bull,,,1,1,,livestock,on the reed mat,make to stand on the reed mat,,priest,,,favorable day,auspicious month,TU 44,
2,rope,goat hair,,1,1,,rope,,tie the legs of the bull,,priest,,,favorable day,auspicious month,TU 44,
2,fine mixed beer,,,1,1,,beer,,place in front of the bull,,priest,,,favorable day,auspicious month,TU 44,
2,uppu drum,bronze,,1,1,,drum,,fill with fine mixed beer,,priest,,,favorable day,auspicious month,TU 44,
2,holy water basin,,,1,1,,vessel,,set up,,priest,Kusu,,favorable day,auspicious month,TU 44,
2,holy water basin,,,1,1,,vessel,,set up,,priest,Ningirim,,favorable day,auspicious month,TU 44,
2,adakurru container,,,1,1,,vessel,,set up,,priest,[text damaged],,favorable day,auspicious month,TU 44,
2,mashqu vessel,,,1,1,,vessel,,set up,,priest,[text damaged],,favorable day,auspicious month,TU 44,
2,holy water basin,,,1,1,,vessel,,set up,,priest,[text damaged],,favorable day,auspicious month,TU 44,
2,censer,,,1,1,,censer,,consecrate the bull,,priest,[text damaged],,favorable day,auspicious month,TU 44,
2,torch,,,1,1,,fire,,consecrate the bull,,priest,[text damaged],,favorable day,auspicious month,TU 44,
2,brick,,,1,12,,furniture,,lay down,,priest,twelve gods,,favorable day,auspicious month,TU 44,
3,cloth ,linen,,1,12,,textile,on the bricks,lay down,,priest,twelve gods,,favorable day,auspicious month,TU 44,
3,water from the holy water basin,,,1,1,,water,,lift up,,priest,,,favorable day,auspicious month,TU 44,
3,holy water basin,,,1,1,,vessel,,take water from,,priest,Ningirim,,favorable day,auspicious month,TU 44,
3,ritual accoutrements,,,1,"plural, unspecified",,assemblage,,purify with water from the holy water basin of Ningirim,,priest,,,favorable day,auspicious month,TU 44,
3,offering table,,,1,12,,furniture,,set up,,priest,twelve gods,,favorable day,auspicious month,TU 44,
3,barley seed,,,1,"plural, unspecified",,seed,,scatter,,priest,twelve gods,,favorable day,auspicious month,TU 44,
3,kettledrum,,,1,1,,drum,,set up,,priest,,,favorable day,auspicious month,TU 44,
3,brick,,,1,1,,furniture,,lay down,,priest,Lumha,,favorable day,auspicious month,TU 44,
3,offering table,,,1,1,,furniture,,set up,,priest,Lumha,,favorable day,auspicious month,TU 44,
3,holy water basin,,,1,1,,vessel,,set up,,priest,Lumha,,favorable day,auspicious month,TU 44,
3,curtains,,,1,1,,furniture,,draw shut,,priest,twelve gods,,favorable day,auspicious month,TU 44,
3,black bull,,,1,1,,livestock,,perform washing of the mouth ceremony,,priest,,,favorable day,auspicious month,TU 44,
3,sweet reed tube,,,1,1,,plant,,whisper in the bull's right ear,,priest,,,favorable day,auspicious month,TU 44,
3,sweet reed tube,,,1,1,,plant,,whisper in the bull's left ear,,priest,,,favorable day,auspicious month,TU 44,
3,balsam,cedar,,1,1,,aromatic,,sprinkle the bull,,priest,,,favorable day,auspicious month,TU 44,
3,censer,,,1,1,,censer,,consecrate the bull,,priest,,,favorable day,auspicious month,TU 44,
3,torch,,,1,1,,fire,,consecrate the bull,,priest,,,favorable day,auspicious month,TU 44,
3,magic circle,flour,,1,1,,flour,,surround the bull,,priest,,,favorable day,auspicious month,TU 44,
3,halhallatu drum,bronze,,1,1,,drum,,accompany the ershemakku lamentation,,priest,,,favorable day,auspicious month,TU 44,
3,bull,,,1,1,,animal ,,cut open,,priest,,,favorable day,auspicious month,TU 44,
3,balsam,cedar,,1,1,,aromatic,,kindle,,priest,,,favorable day,auspicious month,TU 44,
3,heart of the bull,,,1,1,,animal ,,burn,,priest,,,favorable day,auspicious month,TU 44,
3,cedar,,,1,1,,aromatic,,burn with the bull's heart,,priest,,,favorable day,auspicious month,TU 44,
3,juniper,,,1,1,,aromatic,,burn with the bull's heart,,priest,,,favorable day,auspicious month,TU 44,
3,mashatu flour,,,1,1,,flour,,burn with the bull's heart,,priest,,,favorable day,auspicious month,TU 44,
3,sinew of the left thigh,,,1,1,,animal ,,remove from the left thigh,,priest,,,favorable day,auspicious month,TU 44,
3,carcass of the bull,,,1,1,,animal ,,bury,,priest,,,favorable day,auspicious month,TU 44,
3,red cloth,,,1,1,,textile,,wrap the body of the bull in,,priest,,,favorable day,auspicious month,TU 44,
3,ordinary oil,,,1,1,,oil,,pour on the body of the bull,,priest,,,favorable day,auspicious month,TU 44,
3,face of the bull,,,1,1,,animal ,,turn towards the West,,priest,,,favorable day,auspicious month,TU 44,
3,hide of the bull,,,1,1,,animal ,,soak in mixture,,priest,,,favorable day,auspicious month,TU 44,
3,isququ flour,pure grain,,1,1,,flour,,soak the hide of the bull,,priest,,,favorable day,auspicious month,TU 44,
3,water,,,1,1,,water,,soak the hide of the bull,,priest,,,favorable day,auspicious month,TU 44,
3,first quality beer,,,1,1,,beer,,soak the hide of the bull,,priest,,,favorable day,auspicious month,TU 44,
3,wine,,,1,1,,wine,,soak the hide of the bull,,priest,,,favorable day,auspicious month,TU 44,
3,ghee from a pure cow,,,1,1,,ghee,,steep the hide of the bull,,priest,,,favorable day,auspicious month,TU 44,
3,aromatics,from their vegetables,,1,1,,aromatic,,steep the hide of the bull,,priest,,,favorable day,auspicious month,TU 44,
3,malt flour,,,1,4,,flour,,steep the hide of the bull,,priest,,,favorable day,auspicious month,TU 44,
