section,object,material,decoration,count,number,measure,type of object,position,action,occasion ,personnel,deity,time,day,month,text,additional
1,garakku brazier,,,1,1,,fire,,lay down,,priest,Sin (implied),,,,BRM 4 6,
1,cedar,,,1,1,,aromatic,,heap on garakku brazier,,priest,Sin (implied),,,,BRM 4 6,
1,cypress,,,1,1,,aromatic,,heap on garakku brazier,,priest,Sin (implied),,,,BRM 4 6,
1,myrtle,,,1,1,,aromatic,,heap on garakku brazier,,priest,Sin (implied),,,,BRM 4 6,
1,sweet reed,,,1,1,,aromatic,,heap on garakku brazier,,priest,Sin (implied),,,,BRM 4 6,
1,tamarisk of the mountains,,,1,1,,aromatic,,heap on garakku brazier,,priest,Sin (implied),,,,BRM 4 6,
1,twigs of the eru tree,,,1,1,,aromatic,,heap on garakku brazier,,priest,Sin (implied),,,,BRM 4 6,
1,torch,,,1,1,,fire,,light garakku brazier,,temple enterer,Sin (implied),,,,BRM 4 6,
1,garakku brazier,,,1,1,,fire,,lit with torch,,temple enterer,Sin (implied),,,,BRM 4 6,
1,garakku brazier,,,1,1,,fire,,kept lit constantly until the fire goes out,,priest,Sin (implied),,,,BRM 4 6,
1,headdress,,,1,"plural, unspecified",,garment,,remain removed,,people of the land,Sin (implied),,,,BRM 4 6,
1,lubaru clothing,,,1,"plural, unspecified",,garment,,cover their heads with,,people of the land,Sin (implied),,,,BRM 4 6,
1,mud from the river,,,1,1,,mud,,"smear the eyes, hands and feet of seven soldiers of the land",,priest,Sin (implied),,,,BRM 4 6,
1,sword,,,1,7,,weapon,,hang on the right shoulders of the seven soldiers,,priest,Sin (implied),,,,BRM 4 6,
1,garakku brazier,,,1,1,,fire,,exstinguish when the eclipse clears,,priest,Sin (implied),,,,BRM 4 6,
1,kurunnu beer,,,1,1,,beer,,exstinguish the fire in the brazier,,priest,Sin (implied),,,,BRM 4 6,
1,garakku brazier,,,1,1,,fire,,throw into the river,,priest,Sin (implied),,,,BRM 4 6,
1,ashes of the garakku brazier,,,1,"plural, unspecified",,ashes,,throw into the river,,priest,Sin (implied),,,,BRM 4 6,
2,urigallu standard,reed,,1,1,,symbol,,moisten,,priest,Sin (implied),before sunrise,,,BRM 4 6,
2,magic circle ,flour,,1,1,,flour,,moisten,,priest,Sin (implied),before sunrise,,,BRM 4 6,
2,white and black cord,,,1,1,,rope,,moisten,,priest,Sin (implied),before sunrise,,,BRM 4 6,
2,urigallu standard,reed,,1,1,,symbol,,throw into the river,,priest,Sin (implied),before sunrise,,,BRM 4 6,
2,magic circle ,flour,,1,1,,flour,,throw into the river,,priest,Sin (implied),before sunrise,,,BRM 4 6,
2,white and black cord,,,1,1,,rope,,throw into the river,,priest,Sin (implied),before sunrise,,,BRM 4 6,
2,robes,,,1,1,,garment,,robe the statue of Sin,,priest,Sin (implied),before sunrise,,,BRM 4 6,
2,holy water basin,,,1,1,,vessel,,set up ,,priest,Sin (implied),before sunrise,,,BRM 4 6,
2,magic circle ,flour,,1,1,,flour,,throw into the river,,priest,Sin (implied),before sunrise,,,BRM 4 6,
2,takpertu purification accoutrements,,,1,"plural, unspecified",,assemblage,,throw into the river,,priest,Sin (implied),before sunrise,,,BRM 4 6,
