section,object,material,decoration,count,number,measure,type of object,position,action,occasion ,personnel,deity,time,day,month,text,additional
1,garments,,,1,"plural, unspecified",,garment,,robe Enlil,robing of the gods,priest,Enlil,,1,Tashritu,TU 39,
1,garments,,,1,"plural, unspecified",,garment,,robe Ea,robing of the gods,priest,Ea,,1,Tashritu,TU 39,
1,garments,,,1,"plural, unspecified",,garment,,robe the other gods of Uruk ,robing of the gods,priest,the other gods of Uruk ,,1,Tashritu,TU 39,
1,chariot,gold,,1,1,,vehicle,akitu temple,process to the akitu temple of Anu,procession to the temple,singer,Anu,tardennu morning meal,1,Tashritu,TU 39,
1,chariot,silver,,1,1,,vehicle,akitu temple,process to the akitu temple of Anu,procession to the temple,singer,Anu,tardennu morning meal,1,Tashritu,TU 39,
2,garments,,,1,"plural, unspecified",,garment,,robe Adad,robing of the gods,priest,Adad,,6,Tashritu,TU 39,
2,garments,,,1,"plural, unspecified",,garment,,robe Shamash,robing of the gods,priest,Shamash,,6,Tashritu,TU 39,
2,garments,,,1,"plural, unspecified",,garment,,robe Lugalbanda,robing of the gods,priest,Lugalbanda,,6,Tashritu,TU 39,
2,garments,,,1,"plural, unspecified",,garment,,robe Ninsun,robing of the gods,priest,Ninsun,,6,Tashritu,TU 39,
2,holy water basin,,,1,1,,vessel,,set up,washing of the hands,priest,,first watch of the night,6,Tashritu,TU 39,
4,carrying pole,gold,,1,1,,vehicle,,give to Anu,procession to the temple,,Anu,,8,Tashritu,TU 39,"""for use inside the temple"""
4,symbols,,,1,"plural, unspecified",,symbol,towards Anu in the Grand Courtyard,rise and take up position,procession to the temple,,,,8,Tashritu,TU 39,
4,sun disks,,,1,"plural, unspecified",,symbol,towards Anu in the Grand Courtyard,rise and take up position,procession to the temple,,,,8,Tashritu,TU 39,
4,chariot,gold,,1,1,,vehicle,towards Anu in the Grand Courtyard,rise and take up position,procession to the temple,,,,8,Tashritu,TU 39,
4,chariot,silver,,1,1,,vehicle,towards Anu in the Grand Courtyard,rise and take up position,procession to the temple,,,,8,Tashritu,TU 39,
4,holy water basin,,,1,1,,vessel,,lift up to Anu and Antu and sprinkle king and others,washing of the hands,priest; king; other persons,Anu; Antu,,8,Tashritu,TU 39,
4,Scepter of Kingship,,,1,1,,symbol,,lift up to Anu,procession to the temple,exorcist; temple enterer,Anu,,8,Tashritu,TU 39,
4,girdle,,,1,1,,garment,,worn by the temple enterer,procession to the temple,temple enterer,,,8,Tashritu,TU 39,
4,seat,gold,,1,1,,furniture,room between the curtains,sat upon by Anu,procession to the temple,,Anu,,8,Tashritu,TU 39,
4,holy water basin,,,1,1,,vessel,room between the curtains,lift up to Anu and sprinkle king and others,washing of the hands,priest; king; other persons,Anu,,8,Tashriu,TU 39,
4,aromatics,,,1,"plural, unspecified",,aromatic,room between the curtains; offering space,scatter on the offering space,merditu offering,priest,Anu,,8,Tashritu,TU 39,
1,holy water basin,,,1,1,,vessel,,damaged,washing of the hands,chief gala,,,9,Tashritu,TU 40,
1,seat,gold,,1,1,,furniture,room between the curtains,make a libation,procession to temple,king,Anu,,9,Tashritu,TU 40,
1,great seat,,,1,1,,furniture,room between the curtains,sat upon by Adad,procession to temple,,Adad,,9,Tashritu,TU 40,
1,holy water basin,,,1,1,,vessel,room between the curtains,lift up and sprinkle the king and others,washing of the hands,priest; king; other persons,,,9,Tashritu,TU 40,
1,aromatics,,,1,1,,aromatic,room between the curtains; offering space,scatter on the offering space,merditu offering,priest,Anu,,9,Tashritu,TU 40,"""for the eighth day ditto"""
2,holy water basin,,,1,1,,vessel,room between the curtains,lift up to Anu and Antu and sprinkle king and others,washing of the hands,priest; king; other persons,Anu; Antu,,9,Tashritu,TU 40,
2,kallu bowl,,,1,2,,vessel,room between the curtains,lift up to Anu and Antu ,washing of the hands,priest,Anu; Antu,,9,Tashritu,TU 40,
2,shulpu vessel,gold,,1,1,,vessel,room between the curtains,lift up to Anu and Antu,washing of the hands,priest,Anu; Antu,,9,Tashritu,TU 40,
5,liver,,,1,1,,meat,on the Dias of Anu,place on the Dais of Anu,not specified,diviner; shangu priest,Anu,,9,Tashritu,TU 40,
5,censer,gold,,1,1,,censer,,fill,not specified,priest,,,9,Tashritu,TU 39,
5,censer,gold,,1,1,,censer,,fill,not specified,priest,,,9,Tashritu,TU 39,
6,holy water basin,,,1,1,,vessel,,lift up,washing of the hands,priest,,,9,Tashritu,TU 39,
6,oil,,,1,1,,oil,,taken,washing of the hands,priest,,,10,Tashritu,TU 39,
7,holy water basin,,,1,1,,vessel,,lift up,washing of the hands,priest,,dawn,11,Tashritu,TU 39,
1,dish,gold,,1,1,,vessel,Grand Courtyard,"pass before Anu, Enlil, and other gods in the Grand Courtyard",procession to temple,unclear,Anu; Enlil; whatever gods are in the Grand Courtyard,,,Nisannu,KAR 132,
1,dish,gold,,1,1,,vessel,Grand Courtyard,pass before Antu and the other goddesses in the courtyard,procession to the temple,unclear,Antu; other goddesses in the Grand Courtyard,,,Nisannu,KAR 132,
1,dish,gold,,1,1,,vessel,Ushukkinaku,pass from before Ishtar to whatever gods are in the Ubshukkinaku,procession to the temple,unclear,Ishtar; whatever gods are in the Ubshukkinaku,,,Nisannu,KAR 132,
1,symbols,,,1,"plural, unspecified",,symbol,Grand Courtyard ,rise from their seats and take position towards Anu,procession to the temple,,Enlil; Ea; Adad; Sin; Shamash; all of the other gods,,,Nisannu,KAR 132,
1,sun disks,,,1,"plural, unspecified",,symbol,Grand Courtyard,rise from their seats and take position towards Anu,procession to the temple,,Enlil; Ea; Adad; Sin; Shamash; all of the other gods,,,Nisannu,KAR 132,
1,chariot,gold,,1,1,,vehicle,Grand Courtyard,rise from their seats and take position towards Anu,procession to the temple,,Enlil; Ea; Adad; Sin; Shamash; all of the other gods,,,Nisannu,KAR 132,
1,chariot,silver,,1,1,,vehicle,Grand Courtyard,rise from their seats and take position towards Anu,procession to the temple,,Enlil; Ea; Adad; Sin; Shamash; all of the other gods,,,Nisannu,KAR 132,gift of the king
1,towboat,,,1,1,,vehicle,,carry the gods in their seats,procession to the temple,,,,,Nisannu,KAR 132,
